gender,age,f-edu,m-edu,income,event,duration,p1,p2,p3,p4,p5,s1,s2,s3,s4,s5,c1,c2,c3,c4,c5,e1,e2,e3,e4,e5
Male,22,College,High School," 21,194 -  43,828",1,31,4,4,3,3,4,4,2,2,1,5,2,2,2,2,3,1,2,2,2,2
Male,23,College,College," 43,828 -  76,669",0,40,5,5,4,4,4,5,3,3,4,4,5,5,3,5,5,5,5,5,5,5
Male,19,College,High School," 43,828 -  76,669",1,15,1,2,2,4,4,4,1,2,4,1,2,2,1,2,1,5,5,5,5,5
Male,24,High School,Elementary," 21,194 -  43,828",0,40,1,5,4,4,4,4,5,5,4,5,3,3,2,4,5,2,3,4,1,5
Male,19,High School,College," 21,194 -  43,828",1,4,3,4,4,4,3,4,2,2,4,5,1,1,2,4,4,2,2,2,2,2
Female,22,College,College," 21,194 -  43,828",0,40,4,5,5,5,4,4,4,4,4,4,3,2,3,3,4,5,4,4,4,4
Female,22,High School,Elementary," 9,520 to  21,194",1,3,4,4,4,4,5,4,4,4,3,5,3,4,3,4,4,2,2,3,3,2
Female,19,College,Masters," 43,828 -  76,669",0,40,3,5,3,3,4,3,3,3,1,2,5,5,3,4,4,4,4,5,5,5
Male,22,College,High School," 21,194 -  43,828",0,40,4,3,3,3,5,3,2,1,2,1,4,4,3,3,3,4,4,3,5,5
Female,18,College,High School," 21,194 -  43,828",0,40,4,4,4,3,3,3,1,2,2,4,3,4,2,5,2,2,3,2,3,1
Male,23,High School,High School," 9,520 to  21,194",1,14,2,3,2,3,2,4,4,4,3,4,2,2,2,2,2,2,2,4,3,1
Male,23,College,High School,"Less than  9,520",0,40,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,1,1,1,1,1
Female,18,College,High School," 9,520 to  21,194",1,9,5,5,5,5,5,2,3,2,1,3,5,5,5,5,5,1,1,1,1,1
Female,24,Masters,PHd," 43,828 -  76,669",0,40,3,2,4,4,4,5,2,3,3,3,3,3,3,3,3,4,4,3,5,5
Female,24,High School,High School," 9,520 to  21,194",1,2,3,3,3,4,3,3,4,1,2,5,2,1,2,3,3,1,1,2,1,2
Male,18,Elementary,College," 21,194 -  43,828",0,40,4,5,3,3,2,4,3,4,4,2,3,4,4,4,4,3,3,3,4,3
Male,24,High School,College," 21,194 -  43,828",1,28,5,1,1,1,1,4,4,1,3,5,3,2,4,3,3,2,3,3,2,3
Male,22,High School,High School," 21,194 -  43,828",0,40,4,4,3,3,4,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3
Female,23,Elementary,Elementary,"Less than  9,520",1,24,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,2,2,3,2
Female,21,High School,High School,"Less than  9,520",0,40,4,5,4,5,5,5,4,5,5,4,4,5,4,5,5,4,3,3,5,3
Male,21,College,High School," 76,669 -  131,484",0,40,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,4,5,5
Male,24,High School,Elementary," 9,520 to  21,194",0,40,3,4,4,3,3,3,2,5,3,3,4,3,3,3,3,3,4,2,3,3
Male,23,High School,High School,"Less than  9,520",0,40,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,2
Male,20,Elementary,High School," 9,520 to  21,194",0,40,5,5,5,5,5,3,4,4,2,4,4,3,3,3,3,3,3,3,3,3
Female,18,High School,College," 9,520 to  21,194",1,6,4,4,4,4,4,3,4,4,2,5,5,5,5,5,5,2,1,1,1,1
Female,21,College,College," 21,194 -  43,828",0,40,2,4,5,5,3,4,4,4,3,3,4,3,3,4,4,4,4,4,5,5
Female,24,High School,College," 21,194 -  43,828",0,40,5,4,5,5,4,5,2,3,5,2,5,4,3,4,5,2,4,4,4,5
Female,18,College,PHd," 21,194 -  43,828",0,40,3,4,3,4,4,3,4,5,2,2,3,4,4,5,5,4,3,5,4,4
Male,21,College,College,"Less than  9,520",0,40,4,4,3,4,4,4,4,4,3,4,4,3,3,4,4,3,3,2,2,3
Male,19,College,College," 21,194 -  43,828",1,22,2,1,2,2,1,1,1,3,3,1,2,2,1,2,2,5,5,5,5,5
Female,19,High School,College," 21,194 -  43,828",0,40,3,5,4,4,2,5,4,3,4,3,3,2,3,2,3,3,3,4,4,4
Female,21,College,High School," 9,520 to  21,194",0,40,4,3,5,5,3,4,5,5,4,5,4,4,4,5,4,4,4,3,4,3
Male,21,High School,College,"Less than  9,520",1,19,4,4,3,4,4,5,4,4,4,4,3,3,3,4,4,4,3,2,5,4
Male,23,Elementary,High School,"Less than  9,520",0,40,4,4,4,4,3,5,5,5,5,4,5,5,5,5,4,3,4,3,4,3
Female,21,High School,High School,"Less than  9,520",0,40,3,5,4,5,4,5,5,5,5,4,4,4,4,5,4,4,4,4,5,5
Female,21,High School,High School," 9,520 to  21,194",0,40,4,5,3,4,5,5,4,5,5,4,3,3,3,3,3,3,3,3,5,3
Male,21,College,High School,"Less than  9,520",0,40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Female,23,Elementary,Elementary,"Less than  9,520",0,40,3,3,4,4,3,5,5,5,4,4,3,3,3,3,3,3,3,2,3,2
Male,22,High School,High School,"Less than  9,520",0,40,4,4,5,5,4,5,4,5,4,4,4,4,4,4,5,3,3,2,3,3
